firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber,carrier
name26,lastname26,Male,December,5,1999,BS Management Engineering,0917 796 4622,Globe
name27,lastname27,Female,March,4,1997,BS Communications Technology Management,0927 138 7580,Globe
name28,lastname28,Male,November,10,2000,BS Legal Management,0917 195 9244,Globe
name29,lastname29,Female,October,10,1999,BS Legal Management,0917 643 3996,Globe
name30,lastname30,Male,May,28,1999,BS Communications Technology Management,0917 758 3119,Globe
name31,lastname31,Male,April,6,1999,BS IT Entrepreneurship,0918 669 4265,Smart
name32,lastname32,Female,July,16,1999,BS Management,0917 750 8539,Globe
name33,lastname33,Male,December,17,1999,BS IT Entrepreneurship,0927 236 9504,Globe
name34,lastname34,Female,October,4,1999,BS Legal Management,0917 438 4447,Globe
name35,lastname35,Male,July,14,2001,BS IT Entrepreneurship,0917 773 6035,Globe
name36,lastname36,Male,December,11,1998,BS Management,0918 455 4185,Smart
name37,lastname37,Female,February,2,2000,BS Management,0927 889 9252,Globe
name38,lastname38,Female,August,25,2001,BS Legal Management,0927 874 8083,Globe
name39,lastname39,Male,May,3,1997,BS Management Engineering,0927 842 3053,Globe
name40,lastname40,Male,February,27,1998,BS Legal Management,0927 923 1234,Globe
name41,lastname41,Male,November,16,1999,BS Management,0918 381 4956,Smart
name42,lastname42,Female,September,24,1998,BS Legal Management,0918 602 9278,Smart
name43,lastname43,Female,January,13,1999,BS Management,0918 532 6748,Smart
name44,lastname44,Male,February,25,1998,BS IT Entrepreneurship,0917 654 1291,Globe
name45,lastname45,Female,January,27,1997,BS Management Engineering,0918 244 1683,Smart
name46,lastname46,Female,December,24,1998,BS Management Engineering,0917 818 1190,Globe
name47,lastname47,Male,August,23,1999,BS Management,0917 468 6425,Globe
name48,lastname48,Female,April,13,1999,BS IT Entrepreneurship,0918 635 1688,Smart
name49,lastname49,Male,October,11,1997,BS Legal Management,0917 821 1896,Globe
name50,lastname50,Male,March,25,2001,BS Legal Management,0927 924 9506,Globe
name51,lastname51,Female,August,22,1998,BS IT Entrepreneurship,0918 854 2626,Smart
name52,lastname52,Female,March,21,1999,BS Communications Technology Management,0918 438 9745,Smart
name53,lastname53,Male,December,15,2000,BS Management,0917 893 8235,Globe
name54,lastname54,Female,July,10,1998,BS Communications Technology Management,0918 216 5250,Smart
name55,lastname55,Female,May,8,1998,BS Management Engineering,0917 257 1057,Globe
name56,lastname56,Male,September,9,1998,BS Management Engineering,0927 949 5098,Globe
name57,lastname57,Female,May,9,2001,BS Communications Technology Management,0927 766 6306,Globe
name58,lastname58,Female,April,6,1997,BS Management Engineering,0918 851 8794,Smart
name59,lastname59,Male,April,24,1998,BS IT Entrepreneurship,0917 901 2860,Globe
name60,lastname60,Male,August,26,1999,BS IT Entrepreneurship,0918 681 5912,Smart
name61,lastname61,Female,September,8,1998,BS Communications Technology Management,0918 340 1320,Smart
name62,lastname62,Female,December,7,2000,BS IT Entrepreneurship,0927 551 1326,Globe
name63,lastname63,Male,February,22,2000,BS Management Engineering,0918 975 4142,Smart
name64,lastname64,Female,November,13,1997,BS IT Entrepreneurship,0917 466 1269,Globe
name65,lastname65,Female,March,23,1997,BS Management Engineering,0927 627 1302,Globe
name66,lastname66,Female,September,24,1997,BS Legal Management,0917 553 5101,Globe
name67,lastname67,Male,December,9,1997,BS Communications Technology Management,0917 442 5313,Globe
name68,lastname68,Male,November,4,2001,BS Management,0927 715 7133,Globe
name69,lastname69,Male,November,19,1998,BS Communications Technology Management,0917 448 4860,Globe
name70,lastname70,Female,May,12,1998,BS Legal Management,0917 255 1167,Globe
name71,lastname71,Female,August,19,1999,BS Communications Technology Management,0918 461 3486,Smart
name72,lastname72,Male,December,1,1999,BS Management,0927 347 7129,Globe
name73,lastname73,Male,June,21,1998,BS Management Engineering,0918 404 6593,Smart
name74,lastname74,Male,October,25,1997,BS Legal Management,0927 737 8051,Globe
name75,lastname75,Male,September,17,1998,BS IT Entrepreneurship,0927 348 7430,Globe
name76,lastname76,Female,February,2,1997,BS Communications Technology Management,0927 188 4940,Globe
name77,lastname77,Male,May,19,2000,BS Communications Technology Management,0918 961 3285,Smart
name78,lastname78,Female,September,15,2000,BS Management,0918 510 5817,Smart
name79,lastname79,Male,December,23,2000,BS Legal Management,0927 668 6229,Globe
name80,lastname80,Female,August,10,1999,BS Communications Technology Management,0927 229 9686,Globe
name81,lastname81,Male,February,1,1997,BS Communications Technology Management,0918 873 6019,Smart
name82,lastname82,Male,November,22,1997,BS Communications Technology Management,0918 376 7811,Smart
name83,lastname83,Female,June,18,2000,BS Management Engineering,0927 118 4679,Globe
name84,lastname84,Female,February,28,1999,BS IT Entrepreneurship,0917 236 2591,Globe
name85,lastname85,Female,January,10,1999,BS Legal Management,0927 128 1225,Globe
name86,lastname86,Male,November,21,1998,BS Management,0918 587 6655,Smart
name87,lastname87,Female,August,15,1998,BS IT Entrepreneurship,0918 945 8163,Smart
name88,lastname88,Male,January,26,1997,BS Management Engineering,0917 908 6005,Globe
name89,lastname89,Female,March,26,1998,BS IT Entrepreneurship,0917 367 9784,Globe
name90,lastname90,Male,March,15,1999,BS IT Entrepreneurship,0918 501 6913,Smart
name91,lastname91,Female,August,16,1997,BS IT Entrepreneurship,0918 823 1926,Smart
name92,lastname92,Male,December,8,1997,BS Management Engineering,0917 449 1492,Globe
name93,lastname93,Female,June,14,1998,BS IT Entrepreneurship,0927 196 1085,Globe
name94,lastname94,Male,November,24,1997,BS Legal Management,0918 768 1582,Smart
name95,lastname95,Female,September,6,2001,BS Communications Technology Management,0927 111 9326,Globe
name96,lastname96,Male,March,16,1999,BS Communications Technology Management,0917 699 1883,Globe
name97,lastname97,Female,January,19,1997,BS Management,0918 149 1873,Smart
name98,lastname98,Male,January,10,1998,BS IT Entrepreneurship,0927 615 1107,Globe
name99,lastname99,Male,May,12,1998,BS Communications Technology Management,0927 440 8773,Globe
name100,lastname100,Female,May,10,1999,BS Management,0927 787 2993,Globe
name101,lastname101,Female,April,2,1997,BS Communications Technology Management,0927 952 3919,Globe
name102,lastname102,Male,August,14,2001,BS Legal Management,0918 454 7163,Smart
name103,lastname103,Male,December,16,2000,BS Management Engineering,0927 148 8884,Globe
name104,lastname104,Female,July,16,2001,BS Communications Technology Management,0918 852 3413,Smart
name105,lastname105,Male,March,5,1999,BS IT Entrepreneurship,0917 502 7912,Globe
name106,lastname106,Female,August,25,1997,BS Communications Technology Management,0927 510 1038,Globe
name107,lastname107,Female,April,21,2001,BS Management,0927 958 1514,Globe
name108,lastname108,Male,May,14,1999,BS Management,0918 797 4867,Smart
name109,lastname109,Female,August,15,1998,BS Management Engineering,0917 615 3478,Globe
name110,lastname110,Male,January,8,1999,BS Management Engineering,0918 661 5521,Smart
name111,lastname111,Female,December,22,2001,BS Management Engineering,0918 401 1101,Smart
name112,lastname112,Female,May,19,1997,BS Management,0918 469 9048,Smart
name113,lastname113,Female,May,27,1997,BS IT Entrepreneurship,0917 389 5698,Globe
name114,lastname114,Female,August,22,1999,BS Communications Technology Management,0917 946 6274,Globe
name115,lastname115,Male,March,26,1998,BS IT Entrepreneurship,0917 236 8755,Globe
name116,lastname116,Female,July,19,1997,BS IT Entrepreneurship,0918 269 1384,Smart
name117,lastname117,Male,January,11,1997,BS Legal Management,0918 953 2016,Smart
name118,lastname118,Female,February,4,1999,BS Management Engineering,0918 752 1689,Smart
name119,lastname119,Male,December,27,1997,BS Legal Management,0927 259 3515,Globe
name120,lastname120,Female,February,3,1997,BS Legal Management,0918 732 2042,Smart
name121,lastname121,Female,March,5,2000,BS Legal Management,0918 137 1929,Smart
name122,lastname122,Female,March,1,2001,BS Legal Management,0917 898 5495,Globe
name123,lastname123,Female,April,23,1999,BS Legal Management,0918 479 2283,Smart
name124,lastname124,Male,February,2,1999,BS Management,0917 428 8800,Globe
name125,lastname125,Female,November,24,1998,BS Legal Management,0917 641 8280,Globe
name126,lastname126,Male,June,4,2000,BS Legal Management,0927 272 9008,Globe
name127,lastname127,Male,March,3,2000,BS Legal Management,0917 218 3720,Globe
name128,lastname128,Female,June,20,1998,BS Legal Management,0918 872 3714,Smart
name129,lastname129,Male,October,25,1998,BS Management Engineering,0927 399 5328,Globe
name130,lastname130,Female,July,18,2000,BS Management,0927 384 8421,Globe
name131,lastname131,Female,February,23,1999,BS Communications Technology Management,0927 278 9317,Globe
name132,lastname132,Male,September,10,1999,BS Legal Management,0927 450 3540,Globe
name133,lastname133,Female,April,18,1999,BS Communications Technology Management,0927 150 7228,Globe
name134,lastname134,Female,May,7,2000,BS Management,0918 995 5243,Smart
name135,lastname135,Female,October,3,1999,BS Communications Technology Management,0927 949 9628,Globe
name136,lastname136,Male,October,5,2000,BS Management,0927 558 1218,Globe
name137,lastname137,Female,June,5,1998,BS Management Engineering,0918 191 7948,Smart
name138,lastname138,Male,February,5,1997,BS IT Entrepreneurship,0918 636 6121,Smart
name139,lastname139,Male,April,8,1999,BS IT Entrepreneurship,0918 532 3276,Smart
name140,lastname140,Male,September,2,1999,BS Management Engineering,0927 795 1469,Globe
name141,lastname141,Male,June,8,1998,BS Legal Management,0927 430 8948,Globe
name142,lastname142,Female,December,3,1999,BS Legal Management,0918 659 4663,Smart
name143,lastname143,Female,November,15,1999,BS Management Engineering,0927 716 8308,Globe
name144,lastname144,Male,October,14,1998,BS Management Engineering,0917 855 4111,Globe
name145,lastname145,Male,February,9,2001,BS Management,0918 256 2335,Smart
name146,lastname146,Male,September,11,1998,BS Management,0927 248 8520,Globe
name147,lastname147,Male,December,6,1999,BS Legal Management,0917 856 9506,Globe
name148,lastname148,Female,November,13,2000,BS Legal Management,0927 989 2750,Globe
name149,lastname149,Male,September,18,1997,BS Management,0927 124 4294,Globe
name150,lastname150,Female,August,5,1997,BS Management Engineering,0918 162 5544,Smart
name151,lastname151,Female,May,17,1998,BS Legal Management,0918 469 2092,Smart
name152,lastname152,Female,March,15,1999,BS Legal Management,0927 145 1261,Globe
name153,lastname153,Male,November,2,1999,BS Management Engineering,0927 415 2246,Globe
name154,lastname154,Female,August,2,1999,BS Management,0918 331 9863,Smart
name155,lastname155,Female,December,14,1999,BS Legal Management,0918 649 2584,Smart
name156,lastname156,Female,April,3,1998,BS Management,0918 146 7027,Smart
name157,lastname157,Male,August,13,1997,BS Management Engineering,0927 475 9634,Globe
name158,lastname158,Female,January,28,1999,BS Legal Management,0927 594 6138,Globe
name159,lastname159,Female,October,12,1998,BS Management,0927 653 5975,Globe
name160,lastname160,Female,December,25,2000,BS Communications Technology Management,0917 137 6557,Globe
name161,lastname161,Male,January,1,2000,BS Communications Technology Management,0917 289 3619,Globe
name162,lastname162,Male,January,26,2000,BS Communications Technology Management,0917 388 6944,Globe
name163,lastname163,Female,April,17,1999,BS IT Entrepreneurship,0917 307 3272,Globe
name164,lastname164,Male,May,25,1997,BS IT Entrepreneurship,0917 925 9571,Globe
name165,lastname165,Male,August,12,1998,BS Management,0918 281 2519,Smart
name166,lastname166,Female,February,16,1999,BS Management Engineering,0918 536 9523,Smart
name167,lastname167,Female,April,4,2000,BS Management,0918 705 3266,Smart
name168,lastname168,Female,July,5,1997,BS Management Engineering,0927 511 1039,Globe
name169,lastname169,Female,April,13,1998,BS Management Engineering,0918 284 3059,Smart
name170,lastname170,Female,June,9,2000,BS IT Entrepreneurship,0927 797 7430,Globe
name171,lastname171,Female,August,17,1997,BS Legal Management,0918 227 4954,Smart
name172,lastname172,Female,September,24,2000,BS Communications Technology Management,0917 308 1448,Globe
name173,lastname173,Female,August,13,1998,BS Management Engineering,0917 180 6600,Globe
name174,lastname174,Male,October,19,1998,BS Management Engineering,0927 185 5392,Globe
name175,lastname175,Female,June,1,1999,BS Management Engineering,0917 492 1000,Globe
name176,lastname176,Female,June,9,1999,BS IT Entrepreneurship,0927 787 2528,Globe
name177,lastname177,Male,July,1,2001,BS Management Engineering,0927 614 7614,Globe
name178,lastname178,Female,June,12,2001,BS IT Entrepreneurship,0917 735 9355,Globe
name179,lastname179,Male,May,4,1998,BS Legal Management,0927 728 7081,Globe
name180,lastname180,Male,March,22,1999,BS IT Entrepreneurship,0917 257 4982,Globe
name181,lastname181,Female,March,27,1999,BS Management Engineering,0917 744 6240,Globe
name182,lastname182,Male,June,2,1998,BS Communications Technology Management,0917 502 7471,Globe
name183,lastname183,Female,June,17,1997,BS Management,0918 582 2278,Smart
name184,lastname184,Female,December,23,1998,BS IT Entrepreneurship,0927 891 4782,Globe
name185,lastname185,Male,April,18,1997,BS Management Engineering,0917 248 5615,Globe
name186,lastname186,Female,November,19,1997,BS Management Engineering,0918 859 3958,Smart
name187,lastname187,Male,April,18,2001,BS Legal Management,0917 575 5267,Globe
name188,lastname188,Male,September,2,1997,BS Management Engineering,0918 621 4437,Smart
name189,lastname189,Female,December,7,2000,BS Management,0918 447 8973,Smart
name190,lastname190,Male,July,6,1997,BS Management,0918 409 2087,Smart
name191,lastname191,Male,May,7,1999,BS Legal Management,0918 742 1522,Smart
name192,lastname192,Male,July,9,1999,BS IT Entrepreneurship,0917 222 5936,Globe
name193,lastname193,Female,May,25,1997,BS Management Engineering,0918 730 6896,Smart
name194,lastname194,Male,September,2,1998,BS Legal Management,0917 399 8033,Globe
name195,lastname195,Female,July,15,2001,BS Management Engineering,0917 818 9641,Globe
name196,lastname196,Male,May,6,2001,BS Management Engineering,0927 486 8768,Globe
name197,lastname197,Female,October,24,2001,BS Management Engineering,0918 708 8549,Smart
name198,lastname198,Female,June,15,1997,BS Legal Management,0927 642 6498,Globe
name199,lastname199,Female,January,4,1999,BS Communications Technology Management,0927 536 3811,Globe
name200,lastname200,Female,November,13,1998,BS Management,0918 621 7426,Smart
name201,lastname201,Female,October,27,1997,BS Management,0917 681 9326,Globe
name202,lastname202,Female,April,15,2000,BS Management,0918 341 5085,Smart
name203,lastname203,Female,March,25,1998,BS Management Engineering,0918 419 5644,Smart
name204,lastname204,Male,November,4,1997,BS IT Entrepreneurship,0927 383 5918,Globe
name205,lastname205,Female,March,12,2000,BS Management,0917 173 4981,Globe
name206,lastname206,Female,December,19,1997,BS Management Engineering,0917 309 4697,Globe
name207,lastname207,Male,November,27,2000,BS IT Entrepreneurship,0918 744 5680,Smart
name208,lastname208,Male,October,20,1999,BS Communications Technology Management,0918 314 3702,Smart
name209,lastname209,Female,March,16,1999,BS Communications Technology Management,0917 764 8372,Globe
name210,lastname210,Female,April,2,1998,BS IT Entrepreneurship,0927 750 7712,Globe
name211,lastname211,Female,January,26,1999,BS Management,0927 744 7095,Globe
name212,lastname212,Male,November,2,1999,BS Management,0917 600 5892,Globe
name213,lastname213,Female,August,23,1999,BS Management,0918 482 4436,Smart
name214,lastname214,Female,June,8,1999,BS Communications Technology Management,0917 229 1656,Globe
name215,lastname215,Female,November,1,1998,BS Communications Technology Management,0917 129 7511,Globe
name216,lastname216,Female,October,23,1999,BS Legal Management,0927 931 6222,Globe
name217,lastname217,Male,May,2,1998,BS Management Engineering,0917 510 8517,Globe
name218,lastname218,Female,April,19,2001,BS Communications Technology Management,0927 859 9615,Globe
name219,lastname219,Female,May,28,1997,BS IT Entrepreneurship,0918 883 3812,Smart
name220,lastname220,Female,March,25,2001,BS Management,0927 855 3696,Globe
name221,lastname221,Male,July,12,2001,BS Management Engineering,0917 869 1592,Globe
name222,lastname222,Male,September,5,1999,BS Legal Management,0927 390 2398,Globe
name223,lastname223,Male,February,9,1997,BS Management,0918 250 3159,Smart
name224,lastname224,Female,December,18,2001,BS Management,0917 914 1992,Globe
name225,lastname225,Male,February,27,1998,BS Management Engineering,0917 168 1549,Globe
name226,lastname226,Female,March,12,1997,BS Legal Management,0918 812 9824,Smart
name227,lastname227,Female,October,8,1997,BS Management,0918 676 3675,Smart
name228,lastname228,Female,November,16,1999,BS Management,0927 616 9286,Globe
name229,lastname229,Male,June,11,1999,BS Legal Management,0927 975 8823,Globe
name230,lastname230,Female,December,4,1997,BS Communications Technology Management,0917 559 2469,Globe
name231,lastname231,Male,May,22,1998,BS IT Entrepreneurship,0927 597 2823,Globe
name232,lastname232,Male,April,17,2000,BS Management,0917 418 9979,Globe
name233,lastname233,Male,June,13,2001,BS Management Engineering,0927 523 4422,Globe
name234,lastname234,Male,February,6,1997,BS Communications Technology Management,0917 911 6706,Globe
name235,lastname235,Male,July,7,1999,BS Management,0918 656 9527,Smart
name236,lastname236,Male,October,23,1998,BS Management,0917 251 3024,Globe
name237,lastname237,Male,December,14,1998,BS Legal Management,0927 940 8616,Globe
name238,lastname238,Male,March,4,2000,BS Communications Technology Management,0917 261 3868,Globe
name239,lastname239,Male,February,5,1997,BS Legal Management,0927 976 2990,Globe
name240,lastname240,Male,April,21,2001,BS Legal Management,0917 962 2388,Globe
name241,lastname241,Female,September,7,2000,BS Communications Technology Management,0917 560 3594,Globe
name242,lastname242,Female,June,1,1998,BS IT Entrepreneurship,0917 267 6749,Globe
name243,lastname243,Male,November,19,1998,BS Communications Technology Management,0918 388 9243,Smart
name244,lastname244,Male,January,1,2000,BS Communications Technology Management,0918 418 8388,Smart
name245,lastname245,Female,March,5,1999,BS Management Engineering,0918 387 4071,Smart
name246,lastname246,Female,January,26,1998,BS Communications Technology Management,0918 871 2841,Smart
name247,lastname247,Female,August,3,1998,BS Management,0917 242 3611,Globe
name248,lastname248,Male,March,22,1998,BS Legal Management,0917 213 2389,Globe
name249,lastname249,Male,December,9,2000,BS Management Engineering,0917 548 3044,Globe
name250,lastname250,Female,May,24,2001,BS Management Engineering,0927 264 6574,Globe
name251,lastname251,Female,January,9,2000,BS Communications Technology Management,0917 582 8763,Globe
name252,lastname252,Male,December,6,2001,BS Management,0927 800 6849,Globe
name253,lastname253,Female,April,18,1997,BS Management Engineering,0918 414 2565,Smart
name254,lastname254,Female,August,3,1997,BS Communications Technology Management,0917 984 6143,Globe
name255,lastname255,Male,January,6,2001,BS Management Engineering,0927 234 8693,Globe
name256,lastname256,Male,December,7,1997,BS Management,0918 944 9432,Smart
name257,lastname257,Female,April,19,1997,BS IT Entrepreneurship,0917 996 8937,Globe
name258,lastname258,Female,June,7,2001,BS IT Entrepreneurship,0917 169 7326,Globe
name259,lastname259,Male,March,20,1999,BS IT Entrepreneurship,0927 916 1852,Globe
name260,lastname260,Male,November,15,2000,BS Communications Technology Management,0917 843 5692,Globe
name261,lastname261,Male,June,4,1997,BS Legal Management,0918 456 7658,Smart
name262,lastname262,Female,July,26,1998,BS Communications Technology Management,0917 771 4152,Globe
name263,lastname263,Male,January,1,2000,BS Management,0917 773 4858,Globe
name264,lastname264,Male,November,1,2001,BS IT Entrepreneurship,0918 108 6505,Smart
name265,lastname265,Female,November,26,2001,BS Management,0918 332 9306,Smart
name266,lastname266,Female,December,5,1997,BS Management,0917 551 8922,Globe
name267,lastname267,Male,July,5,1999,BS Legal Management,0917 537 9153,Globe
name268,lastname268,Female,October,21,1999,BS Management Engineering,0927 373 9092,Globe
name269,lastname269,Female,October,18,2001,BS Legal Management,0918 441 7553,Smart
name270,lastname270,Female,April,24,1998,BS IT Entrepreneurship,0927 395 8754,Globe
name271,lastname271,Female,March,25,1997,BS Management Engineering,0918 351 3825,Smart
name272,lastname272,Female,July,27,1997,BS IT Entrepreneurship,0917 275 1598,Globe
name273,lastname273,Female,August,7,1999,BS Communications Technology Management,0927 511 6858,Globe
name274,lastname274,Female,January,5,1997,BS Management,0917 580 5437,Globe
name275,lastname275,Male,April,20,1998,BS Communications Technology Management,0917 418 9759,Globe
name276,lastname276,Female,January,12,2001,BS IT Entrepreneurship,0917 559 3566,Globe
name277,lastname277,Female,December,24,1999,BS Legal Management,0927 416 3898,Globe
name278,lastname278,Female,February,8,1997,BS Management,0917 735 6446,Globe
name279,lastname279,Female,October,12,1998,BS Legal Management,0927 359 4345,Globe
name280,lastname280,Female,November,15,2000,BS Management,0918 183 9884,Smart
name281,lastname281,Male,February,12,1997,BS Management,0918 541 2404,Smart
name282,lastname282,Male,March,23,1998,BS Management,0918 393 1948,Smart
name283,lastname283,Female,November,3,1997,BS IT Entrepreneurship,0918 927 3119,Smart
name284,lastname284,Male,August,13,1999,BS Communications Technology Management,0927 868 4707,Globe
name285,lastname285,Male,September,17,1998,BS Communications Technology Management,0927 419 8095,Globe
name286,lastname286,Male,December,28,1999,BS IT Entrepreneurship,0927 907 8179,Globe
name287,lastname287,Male,February,18,1998,BS Communications Technology Management,0917 992 5274,Globe
name288,lastname288,Female,April,4,2001,BS IT Entrepreneurship,0917 527 6893,Globe
name289,lastname289,Male,October,15,1997,BS Management Engineering,0917 756 9357,Globe
name290,lastname290,Female,July,8,1997,BS Management Engineering,0918 927 4291,Smart
name291,lastname291,Female,December,27,2000,BS Management,0918 974 1369,Smart
name292,lastname292,Female,January,25,1999,BS Communications Technology Management,0917 878 8313,Globe
name293,lastname293,Male,March,1,1999,BS Management Engineering,0927 608 4808,Globe
name294,lastname294,Male,January,14,1998,BS Legal Management,0918 983 8521,Smart
name295,lastname295,Male,November,19,1999,BS IT Entrepreneurship,0918 345 5057,Smart
name296,lastname296,Male,April,26,1999,BS Management,0927 416 2499,Globe
name297,lastname297,Female,November,10,2000,BS Legal Management,0917 620 1837,Globe
name298,lastname298,Female,January,8,1999,BS Management,0927 291 3676,Globe
name299,lastname299,Male,February,18,1998,BS Management,0927 348 6668,Globe
name300,lastname300,Male,May,22,1997,BS Communications Technology Management,0918 815 5153,Smart
name301,lastname301,Female,April,27,1999,BS Legal Management,0927 285 5378,Globe
name302,lastname302,Female,May,1,2001,BS Legal Management,0918 511 3241,Smart
name303,lastname303,Male,December,18,1997,BS Legal Management,0917 739 1115,Globe
name304,lastname304,Male,September,18,2000,BS Communications Technology Management,0918 533 7507,Smart
name305,lastname305,Male,January,15,1997,BS Management,0917 641 8911,Globe
name306,lastname306,Female,March,3,1998,BS Legal Management,0917 155 3009,Globe
name307,lastname307,Male,February,12,2000,BS IT Entrepreneurship,0918 386 6738,Smart
name308,lastname308,Male,December,13,1998,BS Communications Technology Management,0927 827 6122,Globe
name309,lastname309,Male,November,8,1998,BS Management,0917 132 5014,Globe
name310,lastname310,Male,August,21,1998,BS IT Entrepreneurship,0918 225 1879,Smart
name311,lastname311,Male,June,23,1998,BS Management Engineering,0918 704 4147,Smart
name312,lastname312,Female,May,16,1999,BS Management Engineering,0918 284 8832,Smart
name313,lastname313,Female,August,8,1997,BS IT Entrepreneurship,0917 379 9404,Globe
name314,lastname314,Male,July,19,1998,BS Management,0918 131 5008,Smart
name315,lastname315,Female,December,19,1998,BS Legal Management,0917 656 2606,Globe
name316,lastname316,Male,April,14,2001,BS Communications Technology Management,0927 212 2224,Globe
name317,lastname317,Male,September,16,1997,BS Management Engineering,0918 458 4727,Smart
name318,lastname318,Male,March,5,1999,BS Communications Technology Management,0917 462 5719,Globe
name319,lastname319,Male,August,10,2000,BS Management Engineering,0927 239 1604,Globe
name320,lastname320,Male,July,21,1997,BS Management,0917 854 8646,Globe
name321,lastname321,Female,August,26,1997,BS Communications Technology Management,0927 414 7766,Globe
name322,lastname322,Female,June,14,1999,BS Legal Management,0918 600 7855,Smart
name323,lastname323,Male,June,8,1998,BS Management,0917 308 8490,Globe
name324,lastname324,Male,July,21,1998,BS Management Engineering,0918 788 7131,Smart
name325,lastname325,Female,March,24,1998,BS Management Engineering,0917 557 5935,Globe
name326,lastname326,Female,February,24,2000,BS Communications Technology Management,0918 561 3677,Smart
name327,lastname327,Male,July,16,1997,BS IT Entrepreneurship,0917 604 7756,Globe
name328,lastname328,Female,June,1,1999,BS IT Entrepreneurship,0917 992 5461,Globe
name329,lastname329,Female,December,5,1997,BS IT Entrepreneurship,0918 451 8833,Smart
name330,lastname330,Male,July,3,1998,BS IT Entrepreneurship,0918 158 9284,Smart
name331,lastname331,Female,January,26,1998,BS Management,0927 146 5990,Globe
name332,lastname332,Female,April,18,1999,BS Legal Management,0918 299 4084,Smart
name333,lastname333,Male,June,17,2000,BS Communications Technology Management,0927 779 3123,Globe
name334,lastname334,Male,January,2,1998,BS Legal Management,0927 182 1332,Globe
name335,lastname335,Female,May,21,1999,BS Communications Technology Management,0918 169 5036,Smart
name336,lastname336,Male,April,11,1999,BS IT Entrepreneurship,0918 152 3167,Smart
name337,lastname337,Male,December,8,1998,BS Management,0927 503 8110,Globe
name338,lastname338,Male,September,20,2001,BS Communications Technology Management,0927 746 2862,Globe
name339,lastname339,Female,April,22,2000,BS IT Entrepreneurship,0918 233 2323,Smart
name340,lastname340,Female,June,4,1999,BS Legal Management,0917 685 3086,Globe
name341,lastname341,Female,August,22,1999,BS Management,0917 949 6688,Globe
name342,lastname342,Male,July,2,1999,BS Management,0917 306 7389,Globe
name343,lastname343,Male,December,18,1998,BS Legal Management,0917 431 1238,Globe
name344,lastname344,Male,July,13,2000,BS IT Entrepreneurship,0918 185 7288,Smart
name345,lastname345,Male,April,19,1999,BS IT Entrepreneurship,0918 269 8208,Smart
name346,lastname346,Female,July,19,2000,BS IT Entrepreneurship,0917 816 8886,Globe
name347,lastname347,Male,March,21,1998,BS IT Entrepreneurship,0918 386 4602,Smart
name348,lastname348,Female,January,13,1997,BS IT Entrepreneurship,0917 728 4754,Globe
name349,lastname349,Female,February,18,1999,BS Management Engineering,0918 636 8281,Smart
name350,lastname350,Male,September,17,1997,BS Management Engineering,0917 301 6396,Globe
name351,lastname351,Female,December,21,1997,BS Legal Management,0917 683 8576,Globe
name352,lastname352,Male,February,28,1997,BS Management,0917 897 3550,Globe
name353,lastname353,Female,June,11,2001,BS Communications Technology Management,0927 205 9262,Globe
name354,lastname354,Female,February,16,1997,BS IT Entrepreneurship,0918 120 1113,Smart
name355,lastname355,Female,April,1,1999,BS Communications Technology Management,0927 831 9943,Globe
name356,lastname356,Male,July,26,2001,BS Management,0918 111 2365,Smart
