firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber
name324,lastname324,July,21,1998,BS Management Engineering,0918 788 7131
name325,lastname325,March,24,1998,BS Management Engineering,0917 557 5935
name326,lastname326,February,24,2000,BS Communications Technology Management,0918 561 3677
name327,lastname327,July,16,1997,BS IT Entrepreneurship,0917 604 7756
name328,lastname328,June,1,1999,BS IT Entrepreneurship,0917 992 5461
name329,lastname329,December,5,1997,BS IT Entrepreneurship,0918 451 8833
name330,lastname330,July,3,1998,BS IT Entrepreneurship,0918 158 9284
name331,lastname331,January,26,1998,BS Management,0927 146 5990
name332,lastname332,April,18,1999,BS Legal Management,0918 299 4084
name333,lastname333,June,17,2000,BS Communications Technology Management,0927 779 3123
name334,lastname334,January,2,1998,BS Legal Management,0927 182 1332
name335,lastname335,May,21,1999,BS Communications Technology Management,0918 169 5036
name336,lastname336,April,11,1999,BS IT Entrepreneurship,0918 152 3167
name337,lastname337,December,8,1998,BS Management,0927 503 8110
name338,lastname338,September,20,2001,BS Communications Technology Management,0927 746 2862
name339,lastname339,April,22,2000,BS IT Entrepreneurship,0918 233 2323
name340,lastname340,June,4,1999,BS Legal Management,0917 685 3086
name341,lastname341,August,22,1999,BS Management,0917 949 6688
name342,lastname342,July,2,1999,BS Management,0917 306 7389
name343,lastname343,December,18,1998,BS Legal Management,0917 431 1238
name344,lastname344,July,13,2000,BS IT Entrepreneurship,0918 185 7288
name345,lastname345,April,19,1999,BS IT Entrepreneurship,0918 269 8208
name346,lastname346,July,19,2000,BS IT Entrepreneurship,0917 816 8886
name347,lastname347,March,21,1998,BS IT Entrepreneurship,0918 386 4602
name348,lastname348,January,13,1997,BS IT Entrepreneurship,0917 728 4754
name349,lastname349,February,18,1999,BS Management Engineering,0918 636 8281
name350,lastname350,September,17,1997,BS Management Engineering,0917 301 6396
name351,lastname351,December,21,1997,BS Legal Management,0917 683 8576
name352,lastname352,February,28,1997,BS Management,0917 897 3550
name353,lastname353,June,11,2001,BS Communications Technology Management,0927 205 9262
name354,lastname354,February,16,1997,BS IT Entrepreneurship,0918 120 1113
name355,lastname355,April,1,1999,BS Communications Technology Management,0927 831 9943
name356,lastname356,July,26,2001,BS Management,0918 111 2365
name357,lastname357,August,5,1997,BS Communications Technology Management,0927 733 6775
name358,lastname358,August,17,1999,BS IT Entrepreneurship,0917 354 8160
name359,lastname359,December,18,2000,BS Management,0927 612 3910
name360,lastname360,May,11,1999,BS Management,0927 228 4106
name361,lastname361,February,9,2001,BS Legal Management,0918 211 1764
name362,lastname362,September,27,2001,BS Management Engineering,0917 340 3848
name363,lastname363,October,21,1997,BS Management,0927 317 3533
name364,lastname364,January,8,1997,BS Management,0927 592 8138
name365,lastname365,July,6,1999,BS Management Engineering,0917 102 3528
name366,lastname366,November,13,1997,BS IT Entrepreneurship,0918 384 3861
name367,lastname367,May,15,1998,BS IT Entrepreneurship,0917 277 1823
name368,lastname368,June,22,2000,BS IT Entrepreneurship,0927 594 7966
name369,lastname369,March,1,2000,BS Management Engineering,0927 195 7539
name370,lastname370,September,3,2001,BS IT Entrepreneurship,0927 126 8314
name371,lastname371,January,26,1998,BS Legal Management,0927 788 6832
name372,lastname372,August,25,1997,BS Communications Technology Management,0917 768 3190
name373,lastname373,April,4,1998,BS Communications Technology Management,0927 499 8056
name374,lastname374,March,6,1998,BS Communications Technology Management,0917 196 2990
name375,lastname375,August,21,1999,BS IT Entrepreneurship,0918 187 3716
name376,lastname376,April,24,1998,BS Management Engineering,0917 691 7182
name377,lastname377,February,9,1998,BS IT Entrepreneurship,0927 256 3795
name378,lastname378,December,5,1999,BS Communications Technology Management,0927 176 7320
name379,lastname379,January,26,1997,BS Communications Technology Management,0927 360 1774
name380,lastname380,March,12,1998,BS Management,0927 990 1362
name381,lastname381,November,21,1998,BS Management,0918 334 8614
name382,lastname382,June,14,1999,BS IT Entrepreneurship,0917 688 8237
name383,lastname383,July,27,1999,BS Management Engineering,0927 547 7228
name384,lastname384,February,6,1997,BS Legal Management,0927 731 1675
name385,lastname385,September,18,1998,BS Legal Management,0918 389 8961
name386,lastname386,October,6,1999,BS Management Engineering,0927 568 4260
name387,lastname387,June,16,1999,BS Management,0927 477 1635
name388,lastname388,January,2,2000,BS IT Entrepreneurship,0917 261 6867
name389,lastname389,September,24,1999,BS Communications Technology Management,0927 508 2670
name390,lastname390,January,21,2000,BS Management Engineering,0917 293 6725
name391,lastname391,December,16,2000,BS Management,0927 487 4223
name392,lastname392,August,2,1999,BS IT Entrepreneurship,0917 763 4974
name393,lastname393,June,28,1998,BS Legal Management,0917 793 6625
name394,lastname394,June,13,1999,BS IT Entrepreneurship,0927 552 3618
name395,lastname395,January,23,2001,BS Management,0917 187 1504
name396,lastname396,September,19,1999,BS Legal Management,0917 655 6808
name397,lastname397,January,8,1999,BS Management Engineering,0918 441 4937
name398,lastname398,September,2,1999,BS Legal Management,0917 807 2225
name399,lastname399,August,25,2001,BS Management,0927 589 3638
name400,lastname400,February,9,1999,BS Management,0917 785 6859
name401,lastname401,October,3,1998,BS Management,0918 593 5046
name402,lastname402,March,4,2001,BS IT Entrepreneurship,0918 486 8396
name403,lastname403,June,20,1998,BS IT Entrepreneurship,0917 281 9618
name404,lastname404,May,23,1997,BS Communications Technology Management,0917 621 8869
name405,lastname405,November,4,1999,BS Management Engineering,0927 924 6856
name406,lastname406,December,11,1998,BS Management Engineering,0918 184 7364
name407,lastname407,May,17,1998,BS Management,0927 794 4417
name408,lastname408,July,17,2001,BS Management,0927 472 7168
name409,lastname409,August,1,1997,BS Management Engineering,0918 483 2009
name410,lastname410,August,22,1997,BS Communications Technology Management,0917 347 8315
name411,lastname411,February,20,1998,BS IT Entrepreneurship,0917 881 3071
name412,lastname412,February,10,1999,BS Management,0917 681 7070
name413,lastname413,May,9,1997,BS Management Engineering,0917 277 3163
name414,lastname414,June,5,2001,BS IT Entrepreneurship,0917 367 2247
name415,lastname415,November,15,1999,BS IT Entrepreneurship,0927 996 8602
name416,lastname416,May,25,1998,BS Communications Technology Management,0917 211 3821
name417,lastname417,June,12,1997,BS Management Engineering,0927 137 5483
name418,lastname418,February,22,1998,BS IT Entrepreneurship,0927 146 1580
name419,lastname419,February,14,1999,BS Management,0917 686 4318
name420,lastname420,May,7,1999,BS Management,0918 870 7055
name421,lastname421,June,27,2001,BS Communications Technology Management,0917 306 8677
name422,lastname422,July,3,1997,BS Communications Technology Management,0927 364 8721
name423,lastname423,September,14,2000,BS Management,0917 520 5319
name424,lastname424,April,6,1998,BS Management,0918 812 6741
name425,lastname425,April,14,1999,BS Management,0918 784 4632
name426,lastname426,March,15,2000,BS Management Engineering,0927 103 8881
name427,lastname427,November,13,1997,BS Management,0927 869 8588
name428,lastname428,April,19,1998,BS Communications Technology Management,0918 373 8418
name429,lastname429,November,10,2001,BS Communications Technology Management,0918 313 7865
name430,lastname430,February,5,2001,BS Communications Technology Management,0927 804 2579
name431,lastname431,June,5,1998,BS Management Engineering,0917 648 3069
name432,lastname432,March,27,2001,BS Communications Technology Management,0927 329 1747
name433,lastname433,November,17,1997,BS Management,0927 297 9518
name434,lastname434,December,14,1997,BS Management Engineering,0927 931 6877
name435,lastname435,August,23,2000,BS IT Entrepreneurship,0917 307 2012
